,國際證券辨識號碼,上市日,市場別,產業別,CFICode,備註,股票代號,股票名稱,類型
2038,TW0006569007,2016/12/21,上櫃,生技醫療業,ESVUFR,,6569,醫揚,股票
2039,TW0006570005,2017/12/11,上櫃,電腦及週邊設備業,ESVUFR,,6570,維田,股票
2040,TW0006574007,2017/09/04,上櫃,生技醫療業,ESVUFR,,6574,霈方,股票
2041,TW0006576002,2018/06/29,上櫃,生技醫療業,ESVUFR,,6576,逸達,股票
2042,TW0006577000,2017/03/21,上櫃,電腦及週邊設備業,ESVUFR,,6577,勁豐,股票
2043,TW0006578008,2018/09/18,上櫃,農業科技業,ESVUFR,,6578,達邦蛋白,股票
2044,TW0006584006,2023/05/18,上櫃,電子零組件業,ESVUFR,,6584,南俊國際,股票
2045,TW0006588007,2020/07/01,上櫃,通信網路業,ESVUFR,,6588,東典光電,股票
2046,TW0006590003,2018/12/24,上櫃,資訊服務業,ESVUFR,,6590,普鴻,股票
2047,TW0006593007,2017/11/03,上櫃,資訊服務業,ESVUFR,,6593,台灣銘板,股票
2048,TW0006596000,2018/01/04,上櫃,文化創意業,ESVUFR,,6596,寬宏藝術,股票
2049,TW0006597008,2025/05/08,上櫃,電子零組件業,ESVUFR,,6597,立誠,股票
2050,TW0006603004,2004/04/05,上櫃,電機機械,ESVUFR,,6603,富強鑫,股票
2051,TW0006609001,2003/09/23,上櫃,電機機械,ESVUFR,,6609,瀧澤科,股票
2052,TW0006612005,2018/07/18,上櫃,生技醫療業,ESVUFR,,6612,奈米醫材,股票
2053,TW0006613003,2017/12/28,上櫃,其他電子業,ESVUFR,,6613,朋億*,股票
2054,TW0006615008,2018/01/22,上櫃,生技醫療業,ESVUFR,,6615,慧智,股票
2055,KYG870931030,2018/01/10,上櫃,居家生活,ESVUFR,,6616,特昇-KY,股票
2056,KYG409471060,2024/06/18,上櫃,生技醫療業,ESVUFR,,6617,共信-KY,股票
2057,TW0006624000,2019/05/28,上櫃,綠能環保,ESVUFR,,6624,萬年清,股票
2058,KYG877791072,2019/06/06,上櫃,居家生活,ESVUFR,,6629,泰金-KY,股票
2059,TW0006637002,2024/06/18,上櫃,生技醫療業,ESVUFR,,6637,醫影,股票
2060,TW0006640006,2018/10/23,上櫃,半導體業,ESVUFR,,6640,均華,股票
2061,TW0006642002,2019/09/23,上櫃,電子零組件業,ESVUFR,,6642,富致,股票
2062,TW0006643000,2019/01/23,上櫃,半導體業,ESVUFR,,6643,M31,股票
2063,TW0006649007,2019/06/05,上櫃,生技醫療業,ESVUFR,,6649,台生材,股票
2064,TW0006651003,2021/02/01,上櫃,半導體業,ESVUFR,,6651,全宇昕,股票
2065,TW0006654007,2018/10/23,上櫃,其他電子業,ESVUFR,,6654,天正國際,股票
